ticker,start_date,end_date,num_days,range_low,range_high,pct_move,current_price,pct_above_low,status
STX,2026-08-11,2026-08-17,5,794.01,1013.99,27.7,805.55,1.45,IN_BUY_ZONE
STX,2026-08-31,2026-09-08,6,763.52,925.44,21.21,805.55,5.5,BETWEEN_LOW_AND_HIGH
SWKS,2026-08-31,2026-09-11,9,64.65,92.3,42.77,79.26,22.6,BETWEEN_LOW_AND_HIGH
TRV,2026-07-16,2026-07-28,9,329.0,398.7,21.19,378.05,14.91,BETWEEN_LOW_AND_HIGH
TSCO,2026-07-31,2026-08-12,9,29.97,36.67,22.36,33.83,12.88,BETWEEN_LOW_AND_HIGH
VEEV,2026-08-04,2026-08-13,8,204.68,253.35,23.78,265.67,29.8,ALREADY_RAN_PAST_HIGH
VEEV,2026-08-24,2026-08-27,4,238.93,296.24,23.99,265.67,11.19,BETWEEN_LOW_AND_HIGH
WDAY,2026-07-24,2026-07-31,6,130.49,170.4,30.58,194.21,48.83,ALREADY_RAN_PAST_HIGH
WDAY,2026-08-13,2026-08-13,1,174.6,227.49,30.29,194.21,11.23,BETWEEN_LOW_AND_HIGH
WDC,2026-08-13,2026-08-18,4,451.55,548.6,21.49,426.94,-5.45,IN_BUY_ZONE
