ticker,total_v20_matches,completed_round_trips,still_holding_count,never_reentered_count,avg_days_to_sell_zone,min_days_to_sell_zone,max_days_to_sell_zone
MOS,2,1,1,0,36.0,36.0,36.0
LUV,2,1,0,1,22.0,22.0,22.0
TPR,2,1,1,0,59.0,59.0,59.0
ROST,2,2,0,0,92.0,50.0,134.0
RL,2,0,0,2,,,
CRM,2,0,1,1,,,
IRM,2,0,0,2,,,
FANG,2,0,0,2,,,
HII,2,0,0,2,,,
EL,2,1,1,0,116.0,116.0,116.0
DOW,2,1,0,1,133.0,133.0,133.0
DVA,2,0,0,2,,,
EFX,2,1,1,0,22.0,22.0,22.0
ANET,2,0,0,2,,,
GRMN,2,0,0,2,,,
IP,2,0,2,0,,,
OXY,2,2,0,0,193.0,100.0,286.0
ODFL,2,0,1,1,,,
PSX,2,0,0,2,,,
PTC,2,0,1,1,,,
INTU,2,1,1,0,51.0,51.0,51.0
KEYS,2,1,0,1,25.0,25.0,25.0
DG,2,1,0,1,127.0,127.0,127.0
ALGN,2,0,2,0,,,
BKR,2,1,0,1,274.0,274.0,274.0
TECH,2,1,0,1,72.0,72.0,72.0
ADSK,2,1,0,1,96.0,96.0,96.0
T,1,1,0,0,255.0,255.0,255.0
MMM,1,0,0,1,,,
ADBE,1,0,0,1,,,
ACN,1,0,0,1,,,
AKAM,1,0,0,1,,,
AMP,1,0,0,1,,,
APH,1,0,0,1,,,
ARE,1,0,1,0,,,
BMY,1,0,0,1,,,
BF-B,1,0,0,1,,,
CHRW,1,0,0,1,,,
BDX,1,0,0,1,,,
EQIX,1,0,0,1,,,
EMR,1,1,0,0,55.0,55.0,55.0
EOG,1,1,0,0,90.0,90.0,90.0
EME,1,0,0,1,,,
DE,1,0,0,1,,,
DHI,1,1,0,0,105.0,105.0,105.0
ELV,1,0,1,0,,,
CASY,1,0,1,0,,,
CARR,1,1,0,0,183.0,183.0,183.0
CAH,1,0,0,1,,,
CVX,1,1,0,0,72.0,72.0,72.0
CTSH,1,0,0,1,,,
CINF,1,1,0,0,287.0,287.0,287.0
SCHW,1,0,0,1,,,
CPAY,1,1,0,0,50.0,50.0,50.0
HRL,1,0,1,0,,,
HUBB,1,0,0,1,,,
DOC,1,0,0,1,,,
GPN,1,0,0,1,,,
HAS,1,1,0,0,27.0,27.0,27.0
HCA,1,0,0,1,,,
HSY,1,0,1,0,,,
GM,1,0,0,1,,,
BEN,1,0,1,0,,,
GEHC,1,1,0,0,25.0,25.0,25.0
FERG,1,1,0,0,374.0,374.0,374.0
FISV,1,0,1,0,,,
GEV,1,0,0,1,,,
EXE,1,1,0,0,47.0,47.0,47.0
EXPD,1,0,0,1,,,
FFIV,1,0,0,1,,,
ERIE,1,1,0,0,21.0,21.0,21.0
JCI,1,1,0,0,125.0,125.0,125.0
INCY,1,1,0,0,103.0,103.0,103.0
ISRG,1,0,0,1,,,
KEY,1,1,0,0,64.0,64.0,64.0
NWS,1,0,0,1,,,
NWSA,1,0,0,1,,,
NRG,1,0,1,0,,,
NTAP,1,0,0,1,,,
TAP,1,1,0,0,39.0,39.0,39.0
IFF,1,1,0,0,82.0,82.0,82.0
KR,1,1,0,0,575.0,575.0,575.0
LMT,1,1,0,0,92.0,92.0,92.0
LLY,1,0,0,1,,,
LHX,1,1,0,0,708.0,708.0,708.0
MTD,1,1,0,0,260.0,260.0,260.0
PWR,1,0,0,1,,,
PFE,1,0,1,0,,,
OMC,1,0,0,1,,,
NEM,1,0,0,1,,,
NKE,1,0,1,0,,,
TTWO,1,1,0,0,113.0,113.0,113.0
SBUX,1,1,0,0,63.0,63.0,63.0
REGN,1,1,0,0,160.0,160.0,160.0
RVTY,1,0,0,1,,,
RMD,1,0,0,1,,,
RF,1,1,0,0,104.0,104.0,104.0
SLB,1,1,0,0,50.0,50.0,50.0
ROK,1,0,0,1,,,
ROL,1,1,0,0,56.0,56.0,56.0
SBAC,1,0,0,1,,,
RJF,1,1,0,0,240.0,240.0,240.0
TEL,1,0,0,1,,,
